star,comment
5,        Simply amazing  
5,        Excellent qualityabsolutely value for money  
5,        I like it its very comfortable and softand the size as well is recommended  
5,        Enough thicknessMore than enough lengthAlso very good qualityHighly recommended  
5,        Comfortable and durable  
5,        Good quality  
4,        Good  
5,        Mat is thicker than standard yoga mats which makes it very soft Length is slightly more than standard yoga mat Great product value for money  
5,        Nice for GYM use  
4,        Its slips while doing exercise and width is so smaller  
